example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.26047 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.0089 seconds  |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.00954 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00705 seconds |
./spec/features/calculations_spec.rb[5:1]  | failed | 0.04028 seconds |
./spec/features/calculations_spec.rb[6:1]  | failed | 0.01024 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.009 seconds   |
./spec/features/calculations_spec.rb[8:1]  | failed | 0.01023 seconds |
./spec/features/calculations_spec.rb[9:1]  | failed | 0.00261 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.00941 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00689 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00633 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00582 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00603 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.0149 seconds  |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00632 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.0599 seconds  |
./spec/features/calculations_spec.rb[18:1] | passed | 0.01847 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.00795 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.0062 seconds  |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00638 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00631 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00604 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01399 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00664 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01491 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01615 seconds |
./spec/features/calculations_spec.rb[28:1] | failed | 0.00281 seconds |
./spec/features/calculations_spec.rb[29:1] | failed | 0.00265 seconds |
./spec/features/calculations_spec.rb[30:1] | failed | 0.0024 seconds  |
./spec/features/calculations_spec.rb[31:1] | failed | 0.00244 seconds |
./spec/features/calculations_spec.rb[32:1] | failed | 0.00247 seconds |
./spec/features/calculations_spec.rb[33:1] | failed | 0.00268 seconds |
./spec/features/calculations_spec.rb[34:1] | failed | 0.00265 seconds |
./spec/features/calculations_spec.rb[35:1] | failed | 0.00298 seconds |
./spec/features/calculations_spec.rb[36:1] | failed | 0.00272 seconds |
./spec/features/calculations_spec.rb[37:1] | failed | 0.00271 seconds |
./spec/features/calculations_spec.rb[38:1] | failed | 0.00537 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.00446 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.00469 seconds |
./spec/features/calculations_spec.rb[41:1] | failed | 0.00508 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.00467 seconds |
./spec/features/calculations_spec.rb[43:1] | failed | 0.00408 seconds |
./spec/features/calculations_spec.rb[44:1] | failed | 0.00461 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.00509 seconds |
./spec/features/calculations_spec.rb[46:1] | failed | 0.01329 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.00376 seconds |
./spec/features/calculations_spec.rb[48:1] | failed | 0.00386 seconds |
./spec/features/calculations_spec.rb[49:1] | failed | 0.00379 seconds |
./spec/features/calculations_spec.rb[50:1] | failed | 0.00356 seconds |
